date,n_long,n_short_requested,n_locate_failed,failed,turnover_usd,nav,fee_wavg_short,short_leg_fee_requested
2021-11-30,47,47,0,,1246346274.6637921,961470972.241594,0.030115464699481634,0.030115464699481634
2021-12-31,47,47,1,GENI,1272901235.7576172,965882440.9160866,0.04996269203965646,0.04905825939884513
2022-01-31,46,46,0,,1418982108.3218322,1039273529.0127231,0.03967418978081341,0.03967418978081341
2022-02-28,46,46,0,,1692821514.6395543,1118630132.1591182,0.011471186554400964,0.011471186554400964
2022-03-31,47,47,1,HRTX,1609584897.5862608,1156256440.5355613,0.038234546756258245,0.052437327858981926
2022-04-29,47,47,0,,1755505662.8025725,1335192450.4437752,0.0178587637362977,0.0178587637362977
2022-05-31,46,46,0,,1491780133.381511,1482813813.007579,0.009328413256315886,0.009328413256315886
2022-06-30,45,45,0,,1738195920.6794693,1302420784.529453,0.011640599605416323,0.011640599605416323
2022-07-29,45,45,2,"TGTX,UPST",1689040337.111764,1213441004.1359618,0.00882957225045037,0.010563195035064683
2022-08-31,46,46,1,UPST,1434720949.564751,1257669190.7879663,0.011485950903177953,0.01204358576564706
2022-09-30,45,45,1,UPST,1210098848.8002756,1299375628.4406664,0.013362417477937077,0.035287697089538474
2022-10-31,46,46,1,UPST,1697697411.337052,1352468666.565047,0.01772427326918856,0.039078093415510544
2022-11-30,46,46,1,UPST,2008142442.5416331,1395596759.5997355,0.012867158001806482,0.03432656761046287
2022-12-30,46,46,0,,1742423548.8038592,1510353427.988551,0.012877185159425826,0.012877185159425826
2023-01-31,48,48,0,,3073904069.2764473,1173801438.8175642,0.029763843662345,0.029763843662345
2023-02-28,47,47,0,,1284438308.779482,1205454106.0176656,0.02914603019169806,0.02914603019169806
2023-03-31,47,47,1,KSS,1833474890.7525125,1168483341.7757783,0.03565891202399967,0.035477460554563814
2023-04-28,47,47,1,KSS,1812149710.2175975,1238007837.0023708,0.02520921673490415,0.02521747624765122
2023-05-31,47,47,1,LWLG,1998481107.5253727,1296656732.210429,0.00931449771991176,0.030392912662041294
2023-06-30,48,48,2,"CVNA,TDOC",2272074275.4927135,1246963294.5144885,0.011055118808756223,0.011245549791508094
2023-07-31,48,48,0,,1904016597.0130017,1165143952.9036837,0.015702198133152382,0.015702198133152382
2023-08-31,48,48,1,SABR,1900223751.3749459,1259049590.234466,0.018456730105878012,0.01834211068259027
2023-09-29,46,46,1,SLE,1929380934.0217266,1271493097.8607605,0.02178262553063022,0.021368753002451127
2023-10-31,46,46,0,,1982967417.9124177,1318853768.288795,0.03638042806273286,0.03638042806273286
2023-11-30,47,47,1,TNON,2209126652.7477784,1456837768.501382,0.01943983352273844,0.01908651759528749
2023-12-29,49,49,0,,2751553776.7687116,1553044601.4857814,0.007346370124335579,0.007346370124335579
2024-01-31,48,48,0,,2224685247.003693,1635070084.1234474,0.008839881935065396,0.008839881935065396
2024-02-29,49,49,2,"SOUN,PCT",2458600661.5676785,1941975975.0847461,0.009374544175090574,0.013040928475725574
2024-03-28,49,49,1,ARRY,2871411203.7647753,2026498055.7755182,0.009612865357641972,0.009749759818551206
2024-04-30,48,48,4,"DVLT,PALI,ARRY,ENVX",2534299084.0336885,1897900607.3098485,0.009798498389735087,0.012110278480204203
2024-05-31,50,50,4,"ENVX,ARRY,INDI,PCT",3126242620.750531,1820464187.538851,0.013099856063864795,0.028087006658291093
2024-06-28,49,49,6,"AEMD,PCT,JBLU,ENVX,ARRY,UPST",2945211373.5807056,1893323947.5629044,0.009889111516673552,0.031094181327171667
2024-07-31,50,50,4,"UPST,ARRY,MP,RUN",3055694616.5724554,1782932816.1130223,0.02490707337829483,0.024319654660746325
2024-08-30,50,50,0,,2645624739.8167872,2006177339.6882863,0.005592428572564855,0.005592428572564855
2024-09-30,51,51,1,TNON,2525426815.2190104,2046699609.506416,0.005757544016274686,0.005709760907588394
2024-10-31,51,51,2,"BIVI,UPXI",3202046121.5199833,2161629112.4297895,0.006633337663579159,0.006486784813243765
2024-11-29,51,51,0,,2903898906.846194,2333269330.8086634,0.005456369797587343,0.005456369797587343
