date,MOM_frictionless,MOM_naive,MOM_risk_only,MOM_borrow_aware,SIR_frictionless,SIR_naive,SIR_risk_only,SIR_borrow_aware,REV_frictionless,REV_naive,REV_risk_only,REV_borrow_aware
2025-06-09,3133336449.578017,2843326422.196644,2846046194.7914796,3136678916.2647085,164606370.04559347,136897210.27957192,135136501.4427202,152192432.00686413,368417015.7260448,317506153.72668415,316762985.7739714,321457404.9775086
2025-06-10,3056731899.9212074,2772998888.8175673,2775833485.4120164,3071713557.916451,164225347.04308727,136822554.36530173,135064013.93341142,151815016.05817732,373093169.13538957,321264041.99777913,320511007.8902608,326164650.182162
2025-06-11,3130545742.8989925,2834716357.8785925,2837457105.3834324,3147301020.246017,168620396.38287887,140513443.39199606,138700209.33167,155382925.1055604,357609301.39764106,307513671.78694963,306749079.2069791,314949787.75340813
2025-06-12,3134300352.342267,2837664109.1151524,2840353053.738917,3150730317.6106887,171608248.52669594,142845742.78312364,140989359.0736043,158109155.795551,364762552.2842512,314356178.7515661,313585157.63801545,320768735.94974726
2025-06-13,3104968592.9856853,2805052856.1741595,2807639339.012825,3134952686.7590604,174125055.57324845,145124809.930608,143237256.9146518,159819955.49569148,368394956.3244888,317166963.908485,316393732.98018575,323630134.0309739
2025-06-16,3211118931.523497,2909080923.464429,2911907399.1458874,3245584203.777062,168558522.37937862,141042988.62314948,139210690.26171634,155053336.16505012,362857190.04805714,312988419.73939276,312221762.2702084,322121578.46077067
2025-06-17,3243760297.898644,2937263208.4858003,2940083162.939651,3256088497.670359,171378109.82124346,143506535.77254018,141644368.57119423,157065839.4814552,366259640.10712236,317061909.13801503,316297648.5045439,326215563.18347585
2025-06-18,3298189147.7608356,2984156034.2276683,2986962443.517652,3304351359.995189,168535753.34165564,140983762.20589837,139165197.52530944,153974862.88002113,365959053.1459754,316321540.467269,315580283.13825184,325154864.1963125
2025-06-20,3279277010.5935836,2968025719.878549,2970724105.0716004,3283337296.865411,168895951.3249721,141007459.48282963,139180577.1800691,153865332.45914328,361135963.4344758,311791032.38636357,311061084.87363446,320576105.7853445
2025-06-23,3325651802.6602073,3010335679.785457,3013264118.6494274,3330130536.370459,171704093.45620477,143051730.76617348,141200614.19111997,156211771.45160785,370070614.5115215,316981478.2875319,316252038.40518117,325160690.0244355
2025-06-24,3375028260.2496085,3053948752.2582097,3057202790.928965,3370946632.613588,164456737.3961293,136503020.90049136,134711720.52376062,149206195.21903986,365914720.7225889,312538963.8673679,311826621.3504864,321931449.3143428
2025-06-25,3339369480.1003127,3021615322.7529426,3024971991.4300056,3334357250.99988,163425454.55106932,135623658.17410636,133835861.31499678,147979358.90660098,373724097.9553706,319181805.3742516,318472323.46109855,328927659.71223015
2025-06-26,3351635502.9421687,3032169557.62384,3035605390.220305,3353174098.804508,157570264.23525903,131201736.70268922,129474788.99880406,142879212.51543233,366026728.90792,313319607.7820926,312640740.6081548,324384749.84758013
2025-06-27,3361840790.6736054,3041872495.775466,3045321185.68419,3360226501.3939214,159000740.2134561,132238565.4677232,130517489.33818297,144189809.6971313,365702152.4644067,313160667.09008145,312494741.7244293,324993719.2953458
2025-06-30,3409872542.8523526,3084766043.564635,3088209767.7505894,3402108655.926392,158659120.61668816,131678592.10482422,129937332.3101968,143233431.08009627,359135945.9061054,306326210.0597944,305676114.688727,320540800.7427688
2025-07-01,3207415244.4603076,2905730797.930293,2909051832.6963706,3199792278.3397026,157904900.46520612,131269934.06611355,129574244.088379,142607674.0459735,366994073.3801534,314384373.13607085,313701984.88189965,328390929.84845996
2025-07-02,3272253854.0138626,2961879580.02852,2965483013.065209,3276535804.95429,153064250.62243614,127513720.09680425,125900109.55352299,138326692.56965134,363563497.39313716,312830037.9728559,312152619.791578,327478701.38635707
2025-07-03,3292783843.4223723,2984984585.9220276,2988601046.127169,3303018596.929859,158511565.8168441,131975403.41451997,130589696.01604985,143459143.43740383,361721284.17830324,311127206.00181735,310473088.5111113,326305675.45175123
2025-07-07,3364230314.6369133,3032211300.156426,3035914690.524327,3373372083.733893,160765737.75820905,134020362.0021559,132506523.71945734,145440703.82884574,366225422.8739186,314494204.9475951,313850961.0307804,331111647.3789744
2025-07-08,3300882909.310309,2984213913.267975,2987586111.5364475,3316822996.1891217,158861482.51839724,132897739.9670658,131402074.45543908,143643755.98313656,368157593.58362645,316535531.6972268,315908248.9316651,333519623.5954852
2025-07-09,3262250380.010947,2944542713.8494325,2947891532.585054,3286913106.395053,149999325.07640052,125280942.52799374,123706489.15999208,135353775.91902447,359516051.2984498,310418519.9755039,309839229.0167339,326287756.96276325
2025-07-10,3259354797.6723065,2938932180.036579,2942015509.673127,3290084239.4004602,147961376.67585874,123448750.59674495,121823423.33211741,133265967.82280414,358390669.57303005,308839488.1853358,308223550.97819835,324547560.37046856
2025-07-11,3309707908.356979,2977776484.104067,2981202425.8919196,3333197311.4773116,152610163.2454594,127198196.05566078,125518966.37830186,137539524.6257419,357308578.856733,306826431.8589297,306231227.3100594,321635203.44951415
2025-07-14,3462662859.7366786,3115759877.8288493,3119562531.596554,3496067036.106043,148776508.23023227,124119308.3552158,122478620.19926132,134420546.27219412,352306563.3927565,302159258.18432295,301545947.3222684,317910131.9637123
2025-07-15,3569467707.11982,3216121136.5188313,3220257268.542966,3605886383.757365,149790090.170669,124873488.27116133,123233413.10647751,135009454.73886618,343623535.80306137,293940198.877341,293320186.2092851,309035693.17996323
2025-07-16,3718224554.3231816,3351157162.677848,3355712232.9635983,3761075431.4164934,148614425.16616347,123913715.8477132,122296918.5614051,133889165.79299502,350969917.771417,300815720.24068254,300200950.34101474,316229798.8534539
2025-07-17,3737563721.90833,3366953779.023503,3371456718.4233956,3786560590.8628535,144812786.4443304,121236948.85518514,119625044.12390056,130459998.53761742,350134606.99099255,300223577.00621146,299628804.69611174,316713460.1245028
2025-07-18,3716231931.5820303,3369391156.617478,3373988629.8219566,3780946482.5155663,141280129.22211698,118116540.75907756,116542456.94508334,127553930.60017686,338813792.1145281,292382294.0539474,291794014.7411609,306941917.5785771
2025-07-21,3561402579.6383924,3251662224.2694907,3255847299.519109,3637378923.196271,141480226.23799586,118470693.7403386,116902794.76472491,127983748.32176888,341310493.7746571,295491624.05185294,294902946.1607183,308943958.85232556
2025-07-22,3381909238.8513966,3128038622.746941,3131942161.924642,3494741754.1350627,136200652.13895932,115360165.49451146,113853983.20879775,123892162.98588407,348961287.2442132,303499542.540434,302876572.2694253,316733817.1978372
2025-07-23,3511530415.6059685,3237806385.867543,3242153698.189193,3595251609.2982907,135008025.25622612,113993527.59292871,112513631.92148516,123028185.65477759,348395321.7486077,302317311.966391,301688134.59718484,315781872.8776555
2025-07-24,3537003164.442805,3258052889.2733464,3262642689.5841255,3634265461.407036,136499444.2856418,115311402.87965332,113815177.23239866,124163926.26767972,340580356.27114713,294900300.3838352,294279280.31263703,307395289.3974796
2025-07-25,3487107780.1427717,3209429680.500176,3213845870.5849113,3570663967.2896357,135785848.68515885,114534048.62532988,113026274.93898064,123416157.42856161,341118761.87582827,295814056.8123722,295218051.7777804,308324618.8038429
2025-07-28,3434813568.790476,3148705689.7408514,3153037300.730892,3512493252.3408833,136496852.10959312,115125806.95808412,113587732.99894394,123934031.22446792,341844659.88222957,295636504.9187529,295059806.7413267,308189517.75971097
2025-07-29,3397508976.861665,3096370947.0456786,3100737571.5154543,3463925867.8695416,141340261.20023632,118447219.10815701,116857167.38406785,128121705.64034645,346493158.50620073,298741326.34817165,298180294.5696747,311019403.8931825
2025-07-30,3482938485.5936375,3168300365.8881636,3172639479.2131643,3537123902.0456114,141688349.18240634,118229650.52545694,116641657.02147314,128128186.33376117,343759314.85147524,296213255.23219,295652796.97957367,307211548.64145005
2025-07-31,3582503941.288809,3248065702.9752607,3252902855.7976933,3643105532.284389,143046375.99703336,118767839.23981568,117183147.12309498,128592491.86360753,337223739.7032417,291645274.15581053,291078835.27284735,300452041.5204548
2025-08-01,3542148896.368781,3205452347.2475686,3210339562.381136,3604238078.133583,147040274.0909815,121835211.78286323,120229981.74867766,131820940.4468544,340930321.8481082,294382712.49629277,293827280.7913621,302682860.994774
2025-08-04,3679961868.0184026,3333405082.026966,3338786800.8484716,3752616995.3714056,146048329.41117272,121166652.64234927,119552422.28080945,131028637.19723627,329855276.98212695,284870792.7845325,284289920.0680129,292511880.47661155
2025-08-05,3726877134.1490054,3371322722.1263514,3377293410.829406,3803979602.743325,144988699.01635033,120313464.6889888,118706497.4879813,130478444.27710578,329798038.98933417,284387759.60944664,283828389.30899495,291614090.81293184
2025-08-06,3722022808.1707363,3378935553.387208,3385069981.4011874,3844113874.7009664,145735735.5138116,120856585.70354183,119264861.55598167,131364067.36755472,330974673.2800566,285208210.07764333,284647202.28156966,291665667.8729456
2025-08-07,3646778689.709482,3315186297.2907724,3321005854.6547093,3777081413.979005,145667387.64673313,120339227.63007164,118768212.67104277,131258550.12257548,337059514.110712,290137002.30432373,289619372.5092387,297385848.70964676
2025-08-08,3721168137.471448,3365086852.711992,3370889046.4372687,3848651172.427069,146726032.18438727,121843880.08166753,120238428.12537389,132299991.91077572,336459561.95863605,290202471.9541291,289697648.60833853,298816462.414395
2025-08-11,3731399941.289954,3374269959.585385,3379712576.5276713,3859548853.680704,147523639.42247576,123308487.5493688,121682952.56647626,133598994.33285409,333906560.994834,287579028.61668307,287063104.0188654,297518866.00185823
2025-08-12,3747094291.743695,3392443707.4513106,3397854799.511552,3863482424.3309207,146092203.11989748,121673259.7916638,120040439.25472027,132122483.816525,334386554.7269743,287910266.89819217,287472797.0782705,298006190.8589551
2025-08-13,3604268757.01272,3263887256.00232,3268518512.666433,3719141326.393699,144425430.081775,120395252.8967469,118768030.35718478,130697377.53926817,334574625.80523914,287743982.45194507,287291218.7430632,297326544.5524916
2025-08-14,3551638897.1726813,3223566134.301784,3228232162.3452983,3677879813.2962575,144244809.67090958,121603541.3689788,119958393.63067186,132229988.54241505,334785628.46472806,287887267.73221594,287374806.4309371,297386745.03687775
2025-08-15,3455275789.605295,3131826066.3309298,3136389073.29287,3584133455.834393,140899572.448781,118932004.65704277,117306811.24600458,129176056.77940415,344460134.6428931,296180381.5569375,295687041.9961097,306194749.7320216
2025-08-18,3449554203.4076514,3119407464.56112,3123915970.176256,3574678760.9270825,138088982.59204873,116296110.07663527,114720928.03562598,126747509.48823217,341984732.70126253,294556715.8303411,294035197.55182475,303513300.5820415
2025-08-19,3363913546.1697955,3042076334.1656384,3047035045.3009014,3479242858.6977024,141344577.1284866,119026634.38553767,117474297.38715844,129301951.6062791,356712337.8011302,307634226.3803746,307060670.4266422,314100016.1442832
2025-08-20,3412944791.400025,3073556655.6428614,3078667734.1019597,3521344589.7215652,142358193.55556473,120300483.57386813,118741761.99539647,130686829.78503376,354085026.51924735,305602347.65062916,304975944.09386283,312384212.3681212
2025-08-21,3504122662.72817,3149720356.240217,3155006169.8450546,3598563384.8412476,143328388.09786206,121260863.26195869,119683123.55207476,131436202.98162647,352511184.7159923,304166280.6858213,303532018.2322555,310988664.0302261
2025-08-22,3483141545.4725776,3127193868.7014594,3133018931.6615314,3580662790.536633,140893037.82086474,119093063.67688435,117515066.5204064,129126436.44697845,350027420.7898815,301704612.9384049,301070299.07856977,308474888.3821976
2025-08-25,3487675100.440478,3124564749.072064,3130280068.8524547,3580450734.012548,142246509.13855615,120141028.49387875,118544757.12050782,130082876.9666904,342562050.59026384,294655674.10237026,293990669.2027339,300731209.22372115
2025-08-26,3548227731.3251123,3173868937.8729973,3179774177.536637,3639115381.4879627,140489646.51963073,118489655.53896563,116869582.63258101,128762306.86169118,338048336.09483105,290929533.86079127,290259261.68619823,296778981.39484715
2025-08-27,3468056297.0666184,3118865859.8006577,3124222132.935702,3573060444.7398496,139739372.77058727,118590414.19052634,116965108.39150606,128400875.8710712,342182050.4085923,294618651.94917864,293954050.0072942,301149873.03436655
2025-08-28,3551282996.3982,3188842293.4536824,3194272861.512248,3653582255.4896307,139855772.76701888,118481573.01133841,116841045.13308302,128382732.56986208,339618307.15383005,292055536.1581972,291455226.47038877,298663436.1062308
2025-08-29,3519453098.239563,3156561233.3261585,3162131053.160076,3615480040.515271,139851182.5206333,118400031.72425912,116780893.32084882,128317190.69264661,345043279.63496655,296840202.0703067,296208084.7375764,303862305.0790479
2025-09-02,3503259875.2893915,3141254319.9954796,3147278921.4806643,3584246368.6949987,139224956.9867239,117817291.9536817,116164162.14509486,127297594.11241893,342026470.63109463,295583524.6380371,294963080.8759619,301155855.3113414
2025-09-03,3468002203.8852797,3112486623.783475,3118781929.713059,3538989734.3211427,138828686.94987828,117482076.35895981,115921983.71375926,127157587.75070788,342283346.58101314,295310187.0194116,294700176.96727496,300282778.3337349
2025-09-04,3463061443.152709,3106361442.237156,3112407344.2403893,3506600062.631066,136057860.95510796,114927537.237851,113407936.25098807,124053000.90039557,341965110.3312485,295265445.7562703,294642157.31027484,298590601.445712
2025-09-05,3438510370.894344,3083602394.172954,3089204511.941315,3475334291.9196854,133301516.06931053,112498640.52762729,111027076.48035564,121581261.98140156,342666874.40081024,295823225.4165593,295178674.6632357,299431333.7387919
2025-09-08,3544449674.164807,3176090625.630407,3182755730.2784634,3580637628.4992027,135931782.78734884,114433235.07565717,112955373.61089848,123613539.19604407,338760464.32740974,292579203.4310555,291945391.55455405,294443224.07194513
2025-09-09,3609336425.580648,3235127857.6268563,3241955572.0600996,3646729130.006278,137082862.50847965,114961962.78394774,113460812.73960152,124345547.57428712,335008385.474173,288235052.94698244,287625560.87881035,288402053.3053373
2025-09-10,3649902538.5329986,3271618829.6392355,3278712119.462034,3691575510.419658,139678174.45011088,117073962.92278968,115529087.54629798,126376536.77799933,329284581.0651192,283872330.5685983,283144955.532565,281520747.3457119
2025-09-11,3675712837.501251,3306089249.3192058,3313297399.806968,3734502116.54027,138273130.99279425,115708399.73472454,114180849.14576373,125356721.6692808,328219603.6516222,283243467.64052325,282495395.99111956,281450969.5035415
2025-09-12,3868701999.667584,3465244878.040532,3473176189.9191833,3922904931.68943,137471936.6193652,114976530.39389601,113442313.69871591,124610166.1285149,328757305.99645364,282230948.2673755,281481148.2245859,280018315.88420224
2025-09-15,3930751734.980816,3525204638.1224823,3533004504.630835,3987575285.6340113,135463027.15660605,113210405.10682431,111752595.65489526,122373807.59017122,331444257.83074987,282861705.46379656,282106338.6283452,282207434.12369233
2025-09-16,3914744299.7211533,3513616915.9608665,3521382385.029258,3977630609.6120715,132976098.63615265,111063521.66651894,109603420.44498742,119716423.43539673,335919583.9101398,285101329.9272428,284347785.9058234,286933636.73672533
2025-09-17,3986307269.766416,3576266543.7583814,3584340710.9749284,4047993010.5832515,131329386.20282604,109721836.61580282,108292587.22325836,117978111.45636696,333264737.47317713,281923548.8885855,281185940.9091235,284619314.1689202
2025-09-18,4001946951.0296087,3590628446.2492743,3598606298.6590858,4066683477.595851,127062400.69740908,105105797.26956984,103688045.92578802,114398675.92601831,335512825.52675617,284353764.41214025,283632223.08011615,287696177.6760509
2025-09-19,4243525417.29031,3809361583.6912227,3818641865.80809,4316446514.922369,127515284.11380288,105412560.81961203,103977131.60441034,114565081.39949441,333123003.78095746,282305138.67662406,281620554.65832925,284632606.6181994
2025-09-22,4253614769.145858,3828626463.30793,3837419977.5090413,4345416342.225804,126014645.4540759,104320660.14049488,102869706.37920848,113016168.85078226,332107440.3126985,280784984.6219765,280111557.7691704,284129270.7258579
2025-09-23,4344461705.490588,3901866667.6170397,3911683893.0566406,4429854686.654561,126233820.6673193,105296234.71956326,103835232.50041106,112866779.5970133,334692762.3245241,282666197.1077221,281992726.14343286,286083118.9532083
2025-09-24,4204089816.8256397,3790851770.6539793,3800060202.7154465,4307083945.244049,124703825.09045883,104178944.84929916,102705398.76445149,112183459.87654476,333669205.6351769,281460475.6004173,280780999.74999005,287447873.97666854
2025-09-25,4202978471.801333,3775933385.8515644,3785217072.1287727,4293170176.7123437,127536065.05187693,105895754.8780632,104409165.54460841,114408005.70205085,334287150.53265893,281943308.11460906,281263653.684668,286903330.93571126
2025-09-26,4130422811.7334948,3713095608.2130537,3722033173.0881844,4219639852.384432,126278599.0706379,104519175.88540146,103033476.94657281,113527573.39308093,334980721.7304961,283173252.92755264,282526492.2845198,288081973.22081494
2025-09-29,4171738052.634674,3743227991.7325144,3751884484.865484,4259688799.5584726,123006862.52473943,101259436.01970685,99808977.34726124,110389636.78132547,330071789.3646792,277148761.8159369,276469544.8919094,281429737.4120934
2025-09-30,4161017305.9476004,3735236291.2338467,3743853493.45683,4246110854.827813,123301660.5783513,101567000.33113684,100102101.02908869,110607861.36054872,327775791.6157907,275400597.2891076,274701815.14676416,279170702.35902435
2025-10-01,4121896626.3990846,3695681146.8936186,3703278034.597595,4220951350.5619454,120271891.71355456,99546385.19082877,98114781.3275984,108368859.08498885,318237082.8878323,267555620.68211633,266793011.31046426,271576595.0917096
2025-10-02,4217083834.4490447,3780019927.9249835,3787890369.6149645,4317817764.984141,117112381.88388065,96825352.0676306,95428348.434287,105768333.20755184,312313839.8990285,263317060.98511875,262568449.27631065,268156869.9379154
2025-10-03,4246303898.6359644,3805436122.59306,3813831736.4851384,4338774065.087021,116061410.81531525,96178171.2195814,94793788.3068737,104625235.91152728,306489092.61569613,257099453.2713864,256333455.26777056,262250096.27577215
2025-10-06,4353774703.47335,3893432753.234379,3901851934.1413035,4446793022.022271,113965118.90026899,95049535.20354067,93689137.86133446,102907266.41403574,294303303.14797425,250671605.18494976,249965250.54518425,252639438.93433815
2025-10-07,4395569147.509424,3926279660.0707884,3934891161.1186066,4478166191.163331,115724484.6079272,96306802.7087444,94898787.22843888,104142192.25804621,294143288.88890773,249766236.7592513,249038590.98255622,252304945.15901554
2025-10-08,4344735071.168504,3879447838.858482,3887516995.2874465,4423526422.849863,114452814.0694659,94985324.5503839,93600183.99199669,102877078.11865471,288599006.1530087,246414335.9913182,245704396.5536252,249622826.5378278
2025-10-09,4395552045.727784,3920667860.2795324,3928714249.767178,4484622877.364103,111808810.00252818,93162314.30529587,91794803.82562625,100275027.75908785,285937613.81847465,243054621.71341667,242375373.3924811,247893225.3035622
2025-10-10,4346086312.764622,3887109631.2422566,3895072687.9878488,4427149504.85146,115199777.34509087,95240632.61646017,93864981.72608651,102979509.57976362,285305449.9416425,243299363.94977286,242611720.03384617,247871571.03109354
2025-10-13,4678206967.721771,4182214121.8504024,4191793998.226555,4765659061.241192,110936228.45456837,92414042.51283759,91089117.83999467,98917385.05230543,261017660.74731976,222021488.88145655,221283134.80077383,226380994.00313798
2025-10-14,4694025299.739611,4195335146.9189773,4204520056.8999796,4787043718.848285,107472839.16170542,89635495.99607626,88372149.89020146,95665426.5799196,258119922.11067516,221481986.96655256,220675244.84061489,224121899.73388442
2025-10-15,4687162100.73776,4184449140.7837257,4192282031.937237,4777028258.759235,102578962.57090658,86090957.6127017,84888503.18340349,91247437.78387511,245624645.94315842,212626852.72509313,211850988.4130364,215491278.49519128
2025-10-16,4484675000.3611965,3995602128.414367,4003052642.662995,4557078488.921087,106809177.28380832,89253750.61252038,88035670.29977389,94688509.15319581,259952166.93993443,221672091.11540586,220916504.23474813,226060736.44747072
2025-10-17,4408495285.135327,3921962679.1187077,3930034368.0362597,4466198618.7137575,109752351.1210513,91578956.64830427,90344592.33778188,97202700.48308049,269510389.5001143,230185702.6733708,229384207.19839886,234135424.92915645
2025-10-20,4369050200.993402,3907471296.596837,3914813804.9453683,4439611966.893579,107153504.59641388,89185905.7952354,87957363.86219545,94927200.11539592,264692262.9512827,227401034.221483,226625960.87187183,232054144.61473706
2025-10-21,4159769856.250134,3717769892.352823,3724871675.9636297,4223520868.9974027,108895367.3643264,90132706.44159646,88869437.19243112,96271022.43201746,283626960.57286465,242304197.46190384,241483743.3494814,247686135.08346233
2025-10-22,4078723347.333977,3638776246.9611897,3645759063.284155,4128035449.7648163,113486587.33918752,93930507.04538529,92641039.79638824,100471556.61879167,299701071.27521026,254180752.45623264,253319786.15919635,259225882.9529251
2025-10-23,4163416269.8492775,3708240096.1140857,3715463322.8139186,4208151559.60955,111676424.3789139,92533800.65810658,91299667.47907306,98552346.23741955,290220611.45745796,246864108.1363849,245998581.61695382,251570392.87988606
