date,nav_open,pnl_long,pnl_short,shadow_pnl_short,fees,rebate,financing,impact,recall_impact,n_recalls,n_reentries,n_reentry_failed,n_missing,n_short,n_long,short_notional,long_notional,fee_wavg,cash,margin_regt_initial,margin_regt_maint,margin_pm,nav,excess_equity_regt,excess_equity_pm
2021-09-24,798841648.791668,-16188613.500245202,16379193.31585845,16379193.315858452,74146.07791541163,1700.6807679517851,-15.02415544886324,0.0,0.0,0,0,0,0,45,45,765306345.5783032,771914602.7214121,0.034878304882442805,27043479.807953835,768610474.1498576,422570554.353844,230583142.2449573,798959768.1859784,376389213.8321344,568376625.9410211
2021-09-27,798959768.1859784,10235423.573362319,-9462176.048460558,-9462176.048460558,75736.38756606074,1721.7078457388523,-9.726253995754586,0.0,0.0,0,0,0,0,45,45,774768530.5824834,782150022.1309558,0.035191284167522305,17507257.192358255,778459276.3567196,427968064.707484,233537782.9070159,799658991.3049058,371690926.59742177,566121208.3978899
2021-09-28,799658991.3049058,-31700079.92574608,17028886.67235115,17028886.67235115,78011.85881612549,1683.8658527348482,-19.144354518673683,0.0,0.0,0,0,0,0,45,45,757739633.7306817,750449948.059082,0.03706321792293498,34459838.13361263,754094790.8948818,414934377.133975,226228437.26846454,784911450.9141929,369977073.7802179,558683013.6457283
2021-09-29,784911450.9141929,-11571043.033980535,18880840.276861798,18880840.2768618,73886.7539569185,1641.908433614511,-29.621278416171865,0.0,0.0,0,0,0,0,45,45,738858795.12653,738829060.2540079,0.03600042606237843,53318301.14910936,738843927.690269,406364903.601461,221653178.3070807,792148973.6902725,385784070.08881146,570495795.3831918
2021-09-30,792148973.6902725,1715024.0543306905,-4602650.180327037,-4602650.180327036,82280.72363672653,1315.4355792737936,-15.754464798235363,930506.2991068219,0.0,0,0,0,0,46,46,789261347.5642762,789261347.5642762,0.037530104065826256,-1012787.0227437019,789261347.5642762,434093741.1603519,236778404.26928285,788249860.222647,354156119.0622951,551471455.9533641
2021-10-01,788249860.222647,15053069.066676755,7528067.885920799,7528067.885920802,74989.97820777775,1737.1850803257087,-3.578657604961859,0.0,0.0,0,0,0,0,46,46,781733286.1465688,804314423.5081053,0.0345340189975464,6441583.688931346,793023854.827337,435598591.720997,237907156.4482011,810757740.8034593,375159149.0824623,572850584.3552582
2021-10-04,810757740.8034593,-12895729.671050869,17729067.3587531,17729067.3587531,70955.19698238024,1697.7871652046197,-13.389691900849739,0.0,0.0,0,0,0,0,46,46,764004224.3420788,791418677.8726496,0.03343420114679857,24101445.42152953,777711451.1073642,427055936.77078605,233313435.33220926,815521807.6916524,388465870.9208664,582208372.3594432
2021-10-05,815521807.6916524,20364403.310064342,-3459732.5329847275,-3459732.532984728,69814.7504129812,1705.4754690617676,-11.429770837444133,0.0,0.0,0,0,0,0,46,46,767463961.0777954,811783076.2109196,0.032748521654850114,20573587.50739944,789623518.6443574,433184957.3760685,236887055.59330723,832358357.7640172,399173400.38794875,595471302.17071
2021-10-06,832358357.7640172,-11409791.18855162,-5610821.71021204,-5610821.710212041,69533.81666382287,1717.604062690578,-8.274950267330142,0.0,0.0,0,0,0,0,46,46,772921828.2107601,800373300.5673954,0.032386423937493546,14894910.481194258,786647564.3890778,431969873.6050769,235994269.31672332,815269920.3777021,383300046.7726252,579275651.0609788
2021-10-07,815269920.3777021,15758939.986939173,-4598433.181569302,-4598433.181569302,72658.25408058806,1727.8227876828337,-5.680849690487053,0.0,0.0,0,0,0,0,46,46,777520254.4572752,816132239.4861147,0.033641530647030904,10225529.442876697,796826246.971695,437289136.20871127,239047874.09150848,826359491.0709294,389070354.86221814,587311616.9794209
2021-10-08,826359491.0709294,-2010297.3434845256,4936326.498637403,4936326.498637404,70390.51267594393,1716.8531652105614,-8.385108142424624,0.0,0.0,0,0,0,0,46,46,772583924.3447526,814121935.057042,0.032799782347052844,15093194.656364322,793352929.7008972,435305661.06768626,238005878.91026917,829216838.1814634,393911177.1137771,591210959.2711942
2021-10-11,829216838.1814634,8458897.217546405,2225746.4175550505,2225746.4175550514,67650.01557256444,1711.9070719226597,-9.585006722432706,0.0,0.0,0,0,0,0,46,46,770358182.3651968,822580819.7006134,0.031613872823872874,17253012.10037887,796469501.0329051,436752659.6347124,238940850.30987152,839835534.1230575,403082874.4883451,600894683.8131859
2021-10-12,839835534.1230575,2168092.153402865,-10587719.144650292,-10587719.144650295,67491.98407724228,1735.4353424610697,-3.6663879148386584,0.0,0.0,0,0,0,0,46,46,780945904.1074812,824748916.9010233,0.03111241654513272,6599498.246709585,802847410.5042522,440471000.4575002,240854223.15127566,831350146.9166874,390879146.45918715,590495923.7654117
2021-10-13,831350146.9166874,8124792.18009239,-16213025.227984801,-16213025.227984805,81430.76151445696,1771.4642735032464,-156.1688849068735,0.0,0.0,0,0,0,0,46,46,797158923.0764608,832873724.2394313,0.03677444145273991,-9693241.13215077,815016323.6579461,447366107.9827961,244504897.09738383,823182098.4026691,375815990.419873,578677201.3052852
2021-10-14,823182098.4026691,8428126.072806146,-6722368.749417848,-6722368.749417849,83296.9622708699,1786.4028726342428,-265.78957276036135,0.0,0.0,0,0,0,0,46,46,803881292.6854093,841301842.5902917,0.037302654870024744,-16497283.826505184,822591567.6378505,451489848.4531957,246777470.29135513,824806079.3770864,373316230.9238907,578028609.0857313
2021-10-15,824806079.3770864,5624493.029313918,2094373.0433742777,2094373.0433742777,73374.25516684946,1781.748719282805,-233.20460032539327,0.0,0.0,0,0,0,0,46,46,801786923.6772622,846926339.4906666,0.03294482745979324,-14474768.296058893,824356631.5839643,452267661.97584534,247306989.4751893,832453119.7387267,380185457.7628814,585146130.2635374
2021-10-18,832453119.7387267,16681676.206467373,11518459.413013667,11518459.41301367,81048.90035451014,1756.1521414312547,-48.91008548435503,0.0,0.0,0,0,0,0,46,46,790268463.6440645,863608004.8672271,0.036921129299631504,-3035798.40937376,826938234.2556458,452982540.31002617,248081470.2766937,860573913.6999092,407591373.38988304,612492443.4232155
2021-10-19,860573913.6999092,10492057.68303459,-16806118.252794277,-16806118.25279428,82883.08252366718,1793.4990791265163,-320.98334397121323,0.0,0.0,0,0,0,0,46,46,807074585.6069323,874100074.1561838,0.03697044887875096,-19923104.10855806,840587329.8815581,460647394.2211256,252176198.9644674,854178442.5633609,393531048.3422353,602002243.5988935
2021-10-20,854178442.5633609,12230043.81653402,-89703.67026381093,-89703.67026381096,82147.54305339504,1793.698416720582,-323.72829746153946,0.0,0.0,0,0,0,0,46,46,807164287.5242618,886330115.6986732,0.0366382853606284,-20093480.53209555,846747201.6114676,463731815.1819469,254024160.48344028,866238105.1366969,402506289.95475006,612213944.6532567
