date,nav_open,pnl_long,pnl_short,shadow_pnl_short,fees,rebate,financing,impact,recall_impact,n_recalls,n_reentries,n_reentry_failed,n_missing,n_short,n_long,short_notional,long_notional,fee_wavg,cash,margin_regt_initial,margin_regt_maint,margin_pm,nav,excess_equity_regt,excess_equity_pm
2019-07-31,513404407.87143946,298983.88974962384,4409960.434399635,4465718.361968965,15189.164509869262,34540.89014637258,-55.02977010487219,667939.016102267,0.0,0,0,0,0,40,35,518113352.19558865,518113352.19558877,0.010553866640149274,-683128.1806122065,518113352.1955887,284962343.7075738,155434005.6586766,517464709.8753528,232502366.16777903,362030704.21667624
2019-08-01,517464709.8753528,1058823.4664309705,20153679.262541812,20153679.262541812,15239.576645011173,29600.93691893052,1104.4216523401685,0.0,0.0,0,0,0,0,40,35,497959686.48668164,519172179.162854,0.01101745330211737,19489793.8648265,508565932.8247678,279180950.736718,152569779.84743035,538692678.3862518,259511727.6495338,386122898.53882146
2019-08-02,538692678.3862518,-5799549.811087718,2570567.666787754,2570567.666787754,12775.870838988187,29448.131122719988,1251.5618969304792,0.0,0.0,0,0,0,0,40,35,495389121.6906166,513364533.9546926,0.009284244043025506,22086386.41642022,504376827.8226546,276957869.99585813,151313048.34679636,535481620.06413245,258523750.06827432,384168571.71733606
2019-08-05,535481620.06413245,-17335236.71285039,15612200.000397062,15612200.000397062,13107.728943900154,28386.800075062918,2126.772947658786,0.0,0.0,0,0,0,0,40,35,479776902.6771198,496029305.1223824,0.009835368050178317,37716170.50035286,487903103.89975107,267940397.08373153,146370931.1699253,533775989.195758,265835592.11202645,387405058.02583265
2019-08-06,533775989.195758,8697364.902129347,6237001.874213484,6237001.874213484,12828.228416063152,28017.776902885726,2479.4682254301933,0.0,0.0,0,0,0,0,40,35,473539891.3163784,504726662.6621641,0.009752424905417901,43970865.08152068,489133276.9892713,268243633.06045455,146739983.09678137,548728024.988813,280484391.9283585,401988041.89203167
2019-08-07,548728024.988813,6465188.05220147,1900844.3064349592,1900844.3064349592,12850.896554984241,27774.30039545661,2578.215152556987,0.0,0.0,0,0,0,0,40,35,471639063.31907445,511132817.5934432,0.009809032201949976,45948388.85745126,491385940.45625883,269274923.39408314,147415782.13687766,557111558.9664425,287836635.5723593,409695776.8295648
2019-08-08,557111558.9664425,14642521.77416555,-4160202.1544708433,-4160202.1544708433,13259.233368519712,28017.490032984668,2345.7404909701195,0.0,0.0,0,0,0,0,40,35,475768698.6733246,525775343.27607346,0.010032866865721626,41805276.076695204,500772020.974699,274174445.42101574,150231606.2924097,567610982.5832926,293436537.16227686,417379376.29088295
2019-08-09,567610982.5832926,-4026376.7551719807,14482707.748327317,14482707.748327317,12992.520584935399,26471.478724405486,3158.696218911197,0.0,11770.316843568875,1,0,0,1,39,35,449515676.45216864,521748954.7584239,0.010405215336409826,56293595.98059559,485632315.60529625,265291941.62525657,145689694.68158886,578072180.9139628,312780239.2887063,432382486.23237395
2019-08-12,578072180.9139628,-8266353.974128539,9734314.154598359,9913426.510647414,13476.128145843553,26580.829472927206,3705.1546179266984,0.0,11591.204103543721,0,1,0,0,40,35,451372575.9553676,513482615.2248758,0.01074811893973681,66032458.5373075,482427595.59012175,263782426.59282923,144728278.67703652,579545359.7462741,315762933.1534449,434817081.0692376
2019-08-13,579545359.7462741,7062430.003811874,2559226.425890348,2559226.4258903475,12316.946087064382,26430.11869564773,3849.7641398788837,0.0,0.0,0,0,0,0,40,35,448813336.3411879,520545041.2914536,0.009879609700306179,68609657.93843555,484679188.8163208,264780261.22521976,145403756.64489624,589184979.1127247,324404717.88750494,443781222.4678284
2019-08-14,589184979.1127247,-18276973.91650979,24064283.952145156,24064283.952145156,11787.19637469733,25012.999717047584,5209.155775776007,0.0,0.0,0,0,0,0,40,35,424749051.7989212,502124062.3837001,0.009990347658032882,92836439.56828529,463436557.0913106,252955731.1356014,139030967.1273932,594990724.1074781,342034992.97187674,455959756.98008496
2019-08-15,594990724.1074781,-893706.0232274263,5555343.743027383,5555343.743027383,12130.27860951408,24802.293600625813,5549.222473492931,0.0,0.0,0,0,0,0,40,35,419193694.65846443,501230374.8758876,0.010417380688378379,98409856.67278105,460212034.76717603,251065702.11651123,138063610.4301528,599670583.0647427,348604880.94823146,461606972.6345899
2019-08-16,599670583.0647427,8900502.267329033,-14058885.434562398,-14058885.434562396,12227.589410042618,25614.52164258291,4757.479420867028,0.0,0.0,0,0,0,0,40,35,432921492.5506971,510130879.1301618,0.01016796870416374,84369093.17793745,471526185.8404294,257409167.54774958,141457855.7521288,594530344.3091627,337121176.76141316,453072488.5570339
2019-08-19,594530344.3091627,660244.7479267716,-10957755.207560264,-10957755.20756026,12031.00818717245,26255.69742706982,4140.618311841172,0.0,0.0,0,0,0,0,40,35,443758266.37301105,510791118.4934198,0.00976018538827945,73429684.34792227,477274692.43321544,260825259.53525826,143182407.7299646,584251199.157081,323425939.6218227,441068791.4271164
2019-08-20,584251199.157081,-109876.44852820504,3861756.4973724154,3861756.497372416,12030.784870544154,26014.35502967077,4359.414413560072,0.0,0.0,0,0,0,0,40,35,439679239.93809754,510681236.1608761,0.009850550492230811,77309812.26017863,475180238.0494868,259574081.0216483,142554071.41484603,588021422.190498,328447341.1688497,445467350.77565193
2019-08-21,588021422.190498,9907017.460063007,-852725.9229509232,-852725.9229509231,11964.136284472987,25942.43718480582,4291.124928990728,0.0,0.0,0,0,0,0,40,35,440531952.1948159,520588255.80733246,0.009777018536229937,76475493.78399318,480560104.0010742,262306649.6102779,144168031.20032224,597093983.1534394,334787333.5431615,452925951.95311713
